"sample","condition","patient","fraction","n_cells_before_qc","n_cells_after_qc"
"GSM4041150_healthy1_cd45+","healthy","healthy1","CD45+",1858,1851
"GSM4041151_healthy1_cd45-A","healthy","healthy1","CD45-",919,836
"GSM4041152_healthy1_cd45-B","healthy","healthy1","CD45-",417,386
"GSM4041153_healthy2_cd45+","healthy","healthy2","CD45+",6570,6569
"GSM4041154_healthy2_cd45-","healthy","healthy2","CD45-",4684,4682
"GSM4041155_healthy3_cd45+","healthy","healthy3","CD45+",3291,3284
"GSM4041156_healthy3_cd45-A","healthy","healthy3","CD45-",3158,3061
"GSM4041157_healthy3_cd45-B","healthy","healthy3","CD45-",1114,1082
"GSM4041158_healthy4_cd45+","healthy","healthy4","CD45+",4929,4923
"GSM4041159_healthy4_cd45-","healthy","healthy4","CD45-",3305,3299
"GSM4041160_healthy5_cd45+","healthy","healthy5","CD45+",5120,5101
"GSM4041161_cirrhotic_cd45+","cirrhotic","cirrhotic1","CD45+",2332,2283
"GSM4041162_cirrhotic1_cd45-A","cirrhotic","cirrhotic1","CD45-",1628,1577
"GSM4041163_cirrhotic1_cd45-B","cirrhotic","cirrhotic1","CD45-",1986,1886
"GSM4041164_cirrhotic2_cd45+","cirrhotic","cirrhotic2","CD45+",3402,3337
"GSM4041165_cirrhotic2_cd45-","cirrhotic","cirrhotic2","CD45-",3664,3579
"GSM4041166_cirrhotic3_cd45+","cirrhotic","cirrhotic3","CD45+",1956,1905
"GSM4041167_cirrhotic3_cd45-","cirrhotic","cirrhotic3","CD45-",3592,3561
"GSM4041168_cirrhotic4_cd45+","cirrhotic","cirrhotic4","CD45+",4819,4809
"GSM4041169_cirrhotic5_cd45+","cirrhotic","cirrhotic5","CD45+",2921,2914
