regulator,target,reg_type,highlight
EOMES,THY1,TF,TRUE
ZFP42,THY1,TF,TRUE
SMAD4,THBS2,TF,TRUE
DLX5,THY1,TF,FALSE
HR,THY1,TF,FALSE
ID2,THY1,TF,FALSE
TP53,LUM,TF,FALSE
ESR1,THBS2,TF,FALSE
FOSL1,THBS2,TF,FALSE
SMAD3,THBS2,TF,FALSE
TBXT,THY1,TF,FALSE
PITX2,THBS2,TF,FALSE
GATA6,THY1,TF,FALSE
HOXA5,THBS2,TF,FALSE
HOXB7,THBS2,TF,FALSE
MYB,THBS2,TF,FALSE
SMAD2,THBS2,TF,FALSE
ETS1,THY1,TF,FALSE
GLI2,LUM,TF,FALSE
ELF4,LUM,TF,FALSE
POU5F1,THY1,TF,FALSE
TBX18,THY1,TF,FALSE
hsa-miR-21-5p,LUM,miRNA,TRUE
hsa-miR-21-5p,THBS2,miRNA,TRUE
hsa-miR-214-3p,THBS2,miRNA,TRUE
hsa-miR-29a-3p,LUM,miRNA,TRUE
hsa-miR-29a-3p,THY1,miRNA,TRUE
hsa-miR-29b-3p,LUM,miRNA,TRUE
hsa-miR-29b-3p,THBS2,miRNA,TRUE
hsa-miR-29b-3p,THY1,miRNA,TRUE
hsa-miR-29c-3p,LUM,miRNA,TRUE
hsa-miR-29c-3p,THY1,miRNA,TRUE
hsa-miR-34a-5p,THBS2,miRNA,TRUE
hsa-miR-34a-5p,THY1,miRNA,TRUE
