TF,mean_activity_cirrhotic,mean_activity_healthy,activity_diff,pvalue,padj,regulates,regulates_fibrogenic_gene,n_drugs,example_drugs,nominal_sig
EOMES,0.605017318426062,-0.821578864114903,1.42659618254097,0.00793650793650794,0.516754850088183,THY1(1),TRUE,1,GLATIRAMER,TRUE
ZFP42,1.3965421516517,-2.07929821611169,3.47584036776339,0.00793650793650794,0.516754850088183,THY1(1),TRUE,0,,TRUE
SMAD4,1.22666491478638,-1.19806511221441,2.42473002700079,0.0158730158730159,0.531519274376417,THBS2(1),TRUE,5,LYSINE; FLUOROURACIL; CETUXIMAB; RECOMBINANT TRANSFORMING GROWTH FACTOR; GEMCITABINE,TRUE
DLX5,0.611187820671651,-1.36695267621131,1.97814049688296,0.150793650793651,0.538811459543167,THY1(1),TRUE,0,,FALSE
HR,-0.141325227842852,-1.13158430034262,0.990259072499764,0.150793650793651,0.538811459543167,THY1(1),TRUE,3,HISTAMINE PHOSPHATE; LEVOMEQUITAZINE; REPIRINAST,FALSE
ID2,0.423307041033125,-0.775868357917125,1.19917539895025,0.150793650793651,0.538811459543167,THY1(1),TRUE,0,,FALSE
TP53,0.774756560977982,-1.83820599893008,2.61296255990806,0.150793650793651,0.538811459543167,LUM(1),TRUE,453,PIRARUBICIN; OXALIPLATIN; SIREMADLIN; CARBOPLATIN; DAUNORUBICIN HYDROCHLORIDE,FALSE
ESR1,0.014421107267055,-1.01142905826701,1.02585016553406,0.222222222222222,0.608515057113188,THBS2(1),TRUE,236,ESTRONE; EVEROLIMUS; ANASTROZOLE; SIVIFENE; ARZOXIFENE,FALSE
FOSL1,-0.104121524149904,-0.795611980191882,0.691490456041978,0.222222222222222,0.608515057113188,THBS2(-1),TRUE,1,TETRADECANOYLPHORBOL ACETATE,FALSE
SMAD3,0.490901317238866,-1.16090806770732,1.65180938494619,0.222222222222222,0.608515057113188,THBS2(1),TRUE,235,CHEMBL:CHEMBL579837; HELENALIN; CHEMBL:CHEMBL592819; CLIOQUINOL; OXYPHENBUTAZONE,FALSE
TBXT,0.381967696247131,-1.00950840840627,1.3914761046534,0.222222222222222,0.608515057113188,THY1(1),TRUE,4,NIVOLUMAB; COMPOUND 10 [PMID: 39952925]; GI-6301; FLUNISOLIDE ANHYDROUS,FALSE
PITX2,0.477556670282599,-0.743926620233514,1.22148329051611,0.30952380952381,0.689661415897157,THBS2(1),TRUE,0,,FALSE
GATA6,0.416692631071002,-0.758940151183383,1.17563278225439,0.420634920634921,0.724976657329599,THY1(1),TRUE,0,,FALSE
HOXA5,0.862369102858055,-0.202873744243992,1.06524284710205,0.420634920634921,0.724976657329599,THBS2(1),TRUE,0,,FALSE
HOXB7,-0.247997867760384,0.221597725916691,-0.469595593677075,0.420634920634921,0.724976657329599,THBS2(-1),TRUE,0,,FALSE
MYB,-0.0434656577281871,-0.402206119299722,0.358740461571535,0.69047619047619,0.879606625258799,THBS2(1),TRUE,6,TETRADECANOYLPHORBOL ACETATE; G4460; DOXORUBICIN HYDROCHLORIDE; FLUOROURACIL; RETINOIC ACID AGENT,FALSE
SMAD2,-0.209593229914376,-0.854309359710975,0.644716129796599,0.69047619047619,0.879606625258799,THBS2(1),TRUE,8,BLEOMYCIN; DEMETHOXYCURCUMIN; TRETINOIN; AMIFOSTINE ANHYDROUS; GERANIIN,FALSE
ETS1,-0.148957132924765,-0.59043394053601606,0.441476807611251,0.841269841269841,0.933682058682059,THY1(1),TRUE,0,,FALSE
GLI2,0.078773631549627,-0.194834182439395,0.273607813989022,0.841269841269841,0.933682058682059,LUM(-1),TRUE,0,,FALSE
ELF4,-0.0766804971689873,-0.240361907120432,0.163681409951444,1,1,LUM(1),TRUE,0,,FALSE
POU5F1,-0.738472058419448,-0.015072589980736,-0.723399468438712,1,1,THY1(1),TRUE,4,PHENYTOIN SODIUM; ALLOPURINOL; DEHYDRATED ALCOHOL; CARBAMAZEPINE,FALSE
TBX18,0.0462922137458707,0.0153678919840947,0.0309243217617759,1,1,THY1(1),TRUE,0,,FALSE
