receptor_gene,n_gained_edges,n_drugs,example_drugs
CD44,24,12,MEDROXYPROGESTERONE ACETATE; MOMETASONE; BIVATUZUMAB; RECOMBINANT TUMOR NECROSIS FACTOR FAMILY PROTEIN; GAMMA-INTERFERON
ITGA1,18,1,SAN-300
ITGB1,18,15,ETARACIZUMAB; RG-7594; JSM 6427; VOLOCIXIMAB; COMPOUND 7 [PMID: 31381331]
LRP1,5,3,ANTISENSE OLIGONUCLEOTIDES; WARFARIN; ANG1005
CD99,2,0,
NCL,2,0,
EDNRB,1,29,K-8794; AMBRISENTAN; BOSENTAN ANHYDROUS; BQ 3020; ENDOTHELIN-1
PDGFRA,1,77,CRENOLANIB; PONATINIB; MOTESANIB; IMATINIB; NILOTINIB
TGFBR2,1,10,H. POLYGYRUS TGF-&BETA; MIMIC; LY2109761; GALUNISERTIB; TGF&BETA;3; TG-C
TNFRSF12A,1,2,ENAVATUZUMAB; TWEAK
TNFRSF1A,1,6,GSK-1995057; TUMOUR NECROSIS FACTOR SHED FORM; CYCLOPHOSPHAMIDE ANHYDROUS; CYT-6091; LYMPHOTOXIN-&ALPHA;
